month,variant,ticker,weight,hedge_weight,gross_exposure,net_exposure,turnover,cost
2023-10,trend,NVT,0.09149096968049285,0.0,0.5000000000000001,0.5000000000000001,0.4999999999999998,0.0007499999999999997
2023-10,trend,JCI,0.07516040787246547,0.0,0.5000000000000001,0.5000000000000001,0.4999999999999998,0.0007499999999999997
2023-10,trend,TT,0.10129327609194651,0.0,0.5000000000000001,0.5000000000000001,0.4999999999999998,0.0007499999999999997
2023-10,trend,SPXC,0.0791456950497201,0.0,0.5000000000000001,0.5000000000000001,0.4999999999999998,0.0007499999999999997
2023-10,trend,XLI_HEDGE,0.0,-0.0,0.5000000000000001,0.5000000000000001,0.4999999999999998,0.0007499999999999997
2023-10,drawdown,MOD,0.09859793712937706,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,drawdown,AAON,0.1307459662923994,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,drawdown,VRT,0.07647539918897382,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,drawdown,NVT,0.1829819393609857,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,drawdown,JCI,0.15032081574493095,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,drawdown,TT,0.20258655218389302,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,drawdown,SPXC,0.1582913900994402,0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,drawdown,XLI_HEDGE,0.0,-0.0,1.0000000000000002,1.0000000000000002,0.03085885379719701,4.628828069579551e-05
2023-10,tail_budget,MOD,0.0743312511830173,0.0,0.7538824172911673,0.7538824172911673,0.0318923143784383,4.783847156765745e-05
2023-10,tail_budget,AAON,0.09856708511958352,0.0,0.7538824172911673,0.7538824172911673,0.0318923143784383,4.783847156765745e-05
2023-10,tail_budget,VRT,0.05765345880389055,0.0,0.7538824172911673,0.7538824172911673,0.0318923143784383,4.783847156765745e-05
2023-10,tail_budget,NVT,0.13794686676608567,0.0,0.7538824172911673,0.7538824172911673,0.0318923143784383,4.783847156765745e-05
2023-10,tail_budget,JCI,0.11332421994296868,0.0,0.7538824172911673,0.7538824172911673,0.0318923143784383,4.783847156765745e-05
2023-10,tail_budget,TT,0.15272643967107644,0.0,0.7538824172911673,0.7538824172911673,0.0318923143784383,4.783847156765745e-05
2023-10,tail_budget,SPXC,0.1193330958045451,0.0,0.7538824172911673,0.7538824172911673,0.0318923143784383,4.783847156765745e-05
