episode,ticker,strategy,return,ending_capital,ann_vol,sharpe,max_drawdown,active_day_hit,exposure,trades,stops
2023-04 to 2024-08,AIG,Core MA + ATR,-0.07139916411025571,92860.08358897443,0.09355230939949233,-0.5121845336999864,-0.1327936460047513,0.4883720930232558,0.1876750700280112,22,2
2023-04 to 2024-08,AIG,Enhanced short/order-book,0.015660527524457013,101566.0527524457,0.06045060562272185,0.2115826232831373,-0.07355354567982708,0.5789473684210527,0.07563025210084033,11,1
2023-04 to 2024-08,BAP,Core MA + ATR,0.09834846765666128,109834.84676566612,0.1297716180913173,0.5739980309470089,-0.1412866667944056,0.5299145299145299,0.25210084033613445,27,1
2023-04 to 2024-08,BAP,Enhanced short/order-book,0.1419789913432321,114197.8991343232,0.12774853146181545,0.7963978049639788,-0.10534221708393421,0.5730337078651685,0.20168067226890757,17,1
2023-04 to 2024-08,ALL,Core MA + ATR,-0.053641760366753166,94635.82396332468,0.10678097938483824,-0.31085890521104825,-0.11178858157574856,0.4636363636363636,0.23529411764705882,28,1
2023-04 to 2024-08,ALL,Enhanced short/order-book,-0.0467412143699284,95325.87856300717,0.06861999905361242,-0.4583613285960375,-0.07741677775062927,0.42592592592592593,0.10644257703081232,17,1
2023-04 to 2024-08,HIG,Core MA + ATR,-0.09990655304365725,90009.34469563428,0.07734401615415212,-0.9216953326915233,-0.1043293744417142,0.45454545454545453,0.23249299719887956,30,3
2023-04 to 2024-08,HIG,Enhanced short/order-book,-0.02399021823234959,97600.97817676504,0.06165751387015254,-0.24711295299755187,-0.07374311859531801,0.4722222222222222,0.15126050420168066,19,1
2025-04 to 2025-06,ROOT,Core MA + ATR,-0.04889848911115513,95110.1510888845,0.14942839409129627,-1.2471051540659495,-0.06211226355859767,0.375,0.1875,4,0
2025-04 to 2025-06,ROOT,Enhanced short/order-book,0.0,100000.0,0.0,,0.0,,0.0,0,0
2025-04 to 2025-06,PLMR,Core MA + ATR,-0.1058723550428392,89412.76449571608,0.20628162165803143,-2.031077770178581,-0.14795221402266612,0.42105263157894735,0.234375,5,1
2025-04 to 2025-06,PLMR,Enhanced short/order-book,-0.1058723550428392,89412.76449571608,0.20628162165803143,-2.031077770178581,-0.14795221402266612,0.42105263157894735,0.234375,5,1
2025-04 to 2025-06,KNSL,Core MA + ATR,0.0011977898091100059,100119.778980911,0.07371439892128973,0.10051431759148988,-0.02762198879551825,0.6923076923076923,0.15625,3,0
