episode,date,series,return
2009-05 to 2010-04,2009-10-06,Enhanced short/order-book,0.00024092515258591907
2009-05 to 2010-04,2009-10-07,Enhanced short/order-book,0.0018965046717268762
2009-05 to 2010-04,2009-10-08,Enhanced short/order-book,0.0021180562998070647
2009-05 to 2010-04,2009-10-09,Enhanced short/order-book,-0.004738195277588515
2009-05 to 2010-04,2009-10-12,Enhanced short/order-book,6.298981191224873e-05
2009-05 to 2010-04,2009-10-13,Enhanced short/order-book,-0.004422354414527249
2009-05 to 2010-04,2009-10-14,Enhanced short/order-book,0.0019753833982473247
2009-05 to 2010-04,2009-10-15,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-10-16,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-10-19,Enhanced short/order-book,0.00042677349791789634
2009-05 to 2010-04,2009-10-20,Enhanced short/order-book,-0.0003899585308056833
2009-05 to 2010-04,2009-10-21,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-10-22,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-10-23,Enhanced short/order-book,-0.007577193589679128
2009-05 to 2010-04,2009-10-26,Enhanced short/order-book,9.607410379883934e-05
2009-05 to 2010-04,2009-10-27,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-10-28,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-10-29,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-10-30,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-11-02,Enhanced short/order-book,0.0021586000028790387
2009-05 to 2010-04,2009-11-03,Enhanced short/order-book,0.0013782078638898353
2009-05 to 2010-04,2009-11-04,Enhanced short/order-book,0.0003694533217137807
2009-05 to 2010-04,2009-11-05,Enhanced short/order-book,-0.0017209403627076237
2009-05 to 2010-04,2009-11-06,Enhanced short/order-book,0.000751566428628858
2009-05 to 2010-04,2009-11-09,Enhanced short/order-book,0.000936777552943753
2009-05 to 2010-04,2009-11-10,Enhanced short/order-book,-0.0017638758231420526
2009-05 to 2010-04,2009-11-11,Enhanced short/order-book,0.0025047709923664008
2009-05 to 2010-04,2009-11-12,Enhanced short/order-book,-0.000561476847521055
2009-05 to 2010-04,2009-11-13,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-11-16,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-11-17,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-11-18,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-11-19,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-11-20,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-11-23,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-11-24,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-11-25,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-11-27,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-11-30,Enhanced short/order-book,-0.0009717932973640507
2009-05 to 2010-04,2009-12-01,Enhanced short/order-book,-0.0021042092891642773
2009-05 to 2010-04,2009-12-02,Enhanced short/order-book,-0.0018087778193753069
2009-05 to 2010-04,2009-12-03,Enhanced short/order-book,-0.001552366010854813
2009-05 to 2010-04,2009-12-04,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-12-07,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-12-08,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-12-09,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-12-10,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-12-11,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-12-14,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-12-15,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-12-16,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-12-17,Enhanced short/order-book,0.0009790718465539673
2009-05 to 2010-04,2009-12-18,Enhanced short/order-book,0.0005509121970087607
2009-05 to 2010-04,2009-12-21,Enhanced short/order-book,-0.0009584694465795649
2009-05 to 2010-04,2009-12-22,Enhanced short/order-book,0.0006772445820433237
2009-05 to 2010-04,2009-12-23,Enhanced short/order-book,0.0001603797793174322
2009-05 to 2010-04,2009-12-24,Enhanced short/order-book,0.00038441824705279237
2009-05 to 2010-04,2009-12-28,Enhanced short/order-book,-9.375e-05
2009-05 to 2010-04,2009-12-29,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-12-30,Enhanced short/order-book,0.0
2009-05 to 2010-04,2009-12-31,Enhanced short/order-book,0.0
2009-05 to 2010-04,2010-01-04,Enhanced short/order-book,0.0
2009-05 to 2010-04,2010-01-05,Enhanced short/order-book,0.0
2009-05 to 2010-04,2010-01-06,Enhanced short/order-book,-0.0011732521590043059
2009-05 to 2010-04,2010-01-07,Enhanced short/order-book,-6.172335383039163e-05
2009-05 to 2010-04,2010-01-08,Enhanced short/order-book,0.0
2009-05 to 2010-04,2010-01-11,Enhanced short/order-book,0.0
2009-05 to 2010-04,2010-01-12,Enhanced short/order-book,0.0
2009-05 to 2010-04,2010-01-13,Enhanced short/order-book,0.0
2009-05 to 2010-04,2010-01-14,Enhanced short/order-book,0.0
2009-05 to 2010-04,2010-01-15,Enhanced short/order-book,-0.001160302901023879
2009-05 to 2010-04,2010-01-19,Enhanced short/order-book,-0.0005240425989672912
2009-05 to 2010-04,2010-01-20,Enhanced short/order-book,-0.00013377561639450397
2009-05 to 2010-04,2010-01-21,Enhanced short/order-book,-0.007387554819010612
2009-05 to 2010-04,2010-01-22,Enhanced short/order-book,-0.0005008390450093496
2009-05 to 2010-04,2010-01-25,Enhanced short/order-book,-0.0005590105459057185
2009-05 to 2010-04,2010-01-26,Enhanced short/order-book,-0.0024517434620174305
2009-05 to 2010-04,2010-01-27,Enhanced short/order-book,-0.0008750755060066028
2009-05 to 2010-04,2010-01-28,Enhanced short/order-book,0.0020719734955008894
2009-05 to 2010-04,2010-01-29,Enhanced short/order-book,-0.0010173344138770996
2009-05 to 2010-04,2010-02-01,Enhanced short/order-book,0.0020131094331325683
2009-05 to 2010-04,2010-02-02,Enhanced short/order-book,-6.7157024053291e-05
2009-05 to 2010-04,2010-02-03,Enhanced short/order-book,-2.1520752883057165e-05
